Nom;Origine;Type de houblon;Acide alpha min %;Acide alpha max %;Acide beta min %;Acide beta max %;Cohumulone min %;Cohumulone max %;Total des huiles min ml/100g;Total des huiles max ml/100g;Myrcène min %;Myrcène max %;Humulène min %;Humulène max %;Caryophyllène min %;Caryophyllène max %;Farnesène min %;Farnesène max %;Types de bière;Goût et odeur;Description;Variété de houblon alternative;Unnamed: 23
Nelson Sauvin;NZ;Double usage;12;13;6;7;23;26;1.0;1.4;20;25;30;40;5;8;1;2;Pale Ale Américaine, Saison;Fruité, Epicé, Fruits tropicaux, Sauvignon Blanc;Le houblon Nelson Sauvin est un houblon néo-zélandais au double usage. Il est connu pour ses arômes de fruits tropicaux et de vin blanc. Il est idéal pour les Pale Ales, les IPAs et les bières de garde.;Sauvignon Blanc;
Northern Brewer;DE;Amer;8;10;4;5;24;30;1.0;2.0;45;55;20;25;5;8;0.1;1.0;Altbier, Blonde, Bock, Brune, IPA, Pils, Porter, Quadruple, Scotch Ale, Stout, Triple;Fruité, Epicé, Pin;Le houblon Northern Brewer est un houblon allemand au double usage. Il est connu pour ses arômes de pin, d'épices et de fruits. Il est idéal pour les Pils, les bières de garde et les bières triples.;Magnum, Hallertau Taurus, Herkules;
Nugget;BE;Amer;11;14;4;6;26;30;1.0;2.0;40;50;15;25;5;10;<1;;Blonde, Pale Ale, Porter, Stout,Triple;Agrume, Epicé, Pin;Le houblon Nugget est un houblon belge au double usage. Il est connu pour ses arômes d'agrumes, d'épices et de pin. Il est idéal pour les Pale Ales, les Porters et les Stouts.;Chinook, Columbus;
Opal;DE;Arôme;4.5;7.5;3.5;6.5;20;24;1.0;1.5;35;50;25;35;8;12;<1;;Blonde, Pils, Weizen;Floral, Fruité, Epicé;Le houblon Opal est un houblon allemand au double usage. Il est connu pour ses arômes floraux, fruités et épicés. Il est idéal pour les Pils, les bières de blé et les bières blondes.;Hallertau Tradition, Saaz, Tettnanger;
Pacific Jade;NZ;Amer;12;14;6;8;30;35;1.0;1.5;35;45;20;25;10;15;0.1;1.0;Blonde, Pils, Stout;Floral, Epicé, Pin;Le houblon Pacific Jade est un houblon néo-zélandais au double usage. Il est connu pour ses arômes floraux, d'épices et de pin. Il est idéal pour les Pils, les bières de garde et les bières triples.;Magnum, Hallertau Taurus, Northern Brewer;
Pekko;USA;Double usage;13;16;4;5;20;22;1.0;2.0;50;60;10;15;5;8;0.1;1.0;Blonde, IPA, Pale Ale Américaine;Fruité, Epicé,Fruits à noyau, Fruits tropicaux;Le houblon Pekko est un houblon au double usage. Il est connu pour ses arômes de fruits tropicaux et de pin. Il est idéal pour les Pale Ales, les IPAs et les bières blondes.;Chinook, Columbus, Idaho 7, Citra;
Pilgrim;UK;Amer;9;13;4;5;28;34;1.0;1.5;40;55;20;25;5;10;1;2;Blonde, IPA, Pale Ale, Stout, Triple;Fruité, Epicé, Floral;Le houblon Pilgrim est un houblon britannique au double usage. Il est connu pour ses arômes floraux, fruités et épicés. Il est idéal pour les Pale Ales, les IPAs et les bières triples.;Chinook, Columbus;
Riwaka;NZ;Double usage;5;7;5;6;28;32;1.0;1.5;60;65;15;20;5;10;<1;;Bière aux fruits, Pale Ale Américaine;Fruité, Agrume, Citron;Le houblon Riwaka est un houblon néo-zélandais au double usage. Il est connu pour ses arômes d'agrumes et de fruits tropicaux. Il est idéal pour les Pale Ales, les IPAs et les bières blondes.;Saaz, Motueka;
Saaz;CZ;Arôme;2;5;4;6;23;28;0.5;1.0;30;45;30;45;10;15;<1;;Pils, Pilsner, Lager;Floral, Epicé;Le houblon Saaz est un houblon tchèque au double usage. Il est connu pour ses arômes floraux et épicés. Il est idéal pour les Pils, les bières de garde et les bières triples.;Tettnanger, Spalt Select;
Sabro;USA;Double usage;12;16;5;7;20;24;2.0;3.5;60;70;10;15;5;8;<1;;Pale Ale Américaine, IPA;Fruité, Agrume, Fruits tropicaux;Le houblon Sabro est un houblon américain au double usage. Il est connu pour ses arômes de fruits tropicaux et de pin. Il est idéal pour les Pale Ales, les IPAs et les bières blondes.;Citra, Mosaic;
Sabro Cryo;USA;Double usage;22;26;8;11;20;24;4.0;6.0;70;80;15;20;5;8;<1;;Pale Ale Américaine, IPA;Fruité, Agrume, Fruits tropicaux;Le houblon Sabro Cryo est un houblon américain au double usage. Il est connu pour ses arômes de fruits tropicaux et de pin. Il est idéal pour les Pale Ales, les IPAs et les bières blondes.;Citra, Mosaic;
Simcoe;USA;Double usage;12;14;4;5;20;22;1.0;1.5;60;70;10;15;5;8;0.1;1.0;Pale Ale Américaine, IPA;Résineux, Pimenté, Fruité;Le houblon Simcoe est un houblon américain au double usage. Il est connu pour ses arômes de pin et de fruits tropicaux. Il est idéal pour les Pale Ales, les IPAs et les bières blondes.;Chinook, Columbus, Centennial;
Simcoe Cryo Yakima;USA;Double usage;21;25;6;9;20;22;2.0;3.0;70;80;15;20;5;8;0.1;1.0;Pale Ale Américaine, IPA;Résineux, Pimenté, Fruité;Le houblon Simcoe Cryo Yakima est un houblon américain au double usage. Il est connu pour ses arômes de pin et de fruits tropicaux. Il est idéal pour les Pale Ales, les IPAs et les bières blondes.;Chinook, Columbus, Centennial;
Sladek;CZ;Arôme;4.5;7.5;4.5;7.5;30;38;1.0;1.5;30;40;25;35;10;15;1;2;Pils;Floral, Epicé;Le houblon Sladek est un houblon tchèque au double usage. Il est connu pour ses arômes floraux et épicés. Il est idéal pour les Pils, les bières de garde et les bières triples.;Saaz, Tettnanger;
Spalt Select;DE/SVN;Arôme;3;6.5;2;5;20;28;0.5;1.2;40;50;15;20;6;8;10;22;Altbier, Bock, Kölsch, Pils, Bière blanche, Weizen;Floral, Epicé, Pimenté;Le houblon Spalt Select est un houblon allemand au double usage. Il est connu pour ses arômes floraux et épicés. Il est idéal pour les Pils, les bières de blé et les bières de garde.;Saaz, Tettnanger, Hallertau Tradition;
Strisselspalt;FR;Arôme;1.8;2.5;4;4.7;20;23;0.6;0.8;35;52;13;21;8;10;<1;;Pale Ale, Saison;Terreux / tabac, Floral, Epicé;Le houblon Strisselspalt est un houblon français au double usage. Il est connu pour ses arômes floraux et épicés. Il est idéal pour les Pils, les bières de blé et les bières de garde.;Hallertau Hersbrucker, Hallertau Tradition;
Styrian Aurora;SVN;Double usage;6.5;9.5;3.2;5.5;22;26;0.9;1.6;35;45;20;27;4;8;6;9;Blonde, Pale Ale, Quadruple, Triple;Floral, Herbeux;Le houblon Styrian Aurora est un houblon slovène au double usage. Il est connu pour ses arômes floraux et d'herbes. Il est idéal pour les bières blondes, les bières de garde et les bières triples.;Styrian Goldings, Northern Brewer;
Styrian Cardinal;SVN;Arôme;10;15;3;5;31;37;3.0;4.0;40;50;15;22;8;11;5;7;Blonde, Pale Ale Américaine, Pale Ale;Agrume, Fruité, Fruits tropicaux;Le houblon Styrian Cardinal est un houblon slovène au double usage. Il est connu pour ses arômes d'agrumes et de fruits tropicaux. Il est idéal pour les Pale Ales, les IPAs et les bières blondes.;;
Styrian Dana;SVN;Double usage;11;16;4;6;28;31;2.4;3.9;42;60;15;21;;6.5;7;7.6;6,9-8,7;Pale Ale Américaine, Pale Ale;Agrume, Fruité, Epicé;Le houblon Styrian Dana est un houblon slovène au double usage. Il est connu pour ses arômes d'agrumes, de fruits et d'épices. Il est idéal pour les Pale Ales, les IPAs et les bières blondes.;Bobek, Celeia, Willamette, Fuggles
Styrian Dragon;SVN;Arôme;6;11;7.5;8.5;22;24;1.5;2.1;58;63;22;33;12;16;0.1;1.0;Blonde, Pale Ale Américaine, Pale Ale;Agrume, Fruité, Fruits tropicaux;Le houblon Styrian Dragon est un houblon slovène au double usage. Il est connu pour ses arômes d'agrumes et de fruits tropicaux. Il est idéal pour les Pale Ales, les IPAs et les bières blondes.;Azacca, Galaxy, Idaho 7;
Styrian Goldings Celeia;SVN;Arôme;2.8;5.5;2.5;3.5;20;25;0.5;1.5;25;45;20;30;5;10;0.1;1.0;Blonde, Pale Ale, Porter, Saison, Stout, Triple;Terreux / tabac, Floral, Epicé;Le houblon Styrian Goldings Celeia est un houblon slovène au double usage. Il est connu pour ses arômes de terre, de tabac et d'épices. Il est idéal pour les Pale Ales, les Porters et les Stouts.;Fuggles, Willamette, East Kent Golding;
Styrian Kolibri;SVN;Double usage;5;7;3;4;28;31;1.2;1.6;40;50;20;25;5;10;1;2;Pale Ale, Saison, Triple;Fruité, Epicé, Fruits tropicaux;Le houblon Styrian Kolibri est un houblon slovène au double usage. Il est connu pour ses arômes de fruits tropicaux et d'épices. Il est idéal pour les Pale Ales, les bières de garde et les bières triples.;Saan, Bobek, Styrian Goldings;
Styrian Wolf;SVN;Arôme;10;15;4;6;28;32;1.5;2.5;45;55;20;25;5;10;2;4;Blonde, Pale Ale, Saison, Triple;Fruité, Tropical, Pin, Agrume;Le houblon Styrian Wolf est un houblon slovène au double usage. Il est connu pour ses arômes de fruits tropicaux, de pin et d'agrumes. Il est idéal pour les bières blondes, les bières de garde et les bières triples.;Elixir, El Dorado, Huell Melon;
Tango;DE;Amer;14;17;4;6;22;25;1.5;2.5;45;55;20;25;5;10;<1;;Blonde, Pils, Porter, Triple;Agrume, Epicé, Pin;Le houblon Tango est un houblon allemand au double usage. Il est connu pour ses arômes d'agrumes, d'épices et de pin. Il est idéal pour les Pils, les bières de garde et les bières triples.;Chinook, Columbus, Northern Brewer;
Target;UK;Amer;9;13;4;6;28;34;1.0;1.5;40;55;20;25;5;10;1;2;Blonde, IPA, Pale Ale, Stout, Triple;Fruité, Epicé, Floral;Le houblon Target est un houblon britannique au double usage. Il est connu pour ses arômes floraux, fruités et épicés. Il est idéal pour les Pale Ales, les IPAs et les bières triples.;Chinook, Columbus;
Tettnanger;DE;Arôme;2.5;5.0;4;6;20;26;0.5;1.0;20;30;30;40;6;12;0.1;1.0;Altbier, Kölsch, Pils, Weizen;Floral, Epicé;Le houblon Tettnanger est un houblon allemand au double usage. Il est connu pour ses arômes floraux et épicés. Il est idéal pour les Pils, les bières de blé et les bières de garde.;Saaz, Hallertau Mittelfrüh;
